County,Cases,"Cases Per 10,000 Residents","Cases Per 100,000 Residents",Deaths
Alamance,7910,467,4666,111
Alexander,1853,494,4942,18
Alleghany,432,388,3879,1
Anson,1021,418,4177,16
Ashe,849,312,3121,3
Avery,1068,608,6083,10
Beaufort,1854,395,3945,55
Bertie,977,516,5156,26
Bladen,1447,442,4422,20
Brunswick,3345,234,2342,64
Buncombe,6204,238,2375,134
Burke,4503,498,4977,68
Cabarrus,7846,362,3625,110
Caldwell,3935,479,4788,25
Camden,205,189,1886,4
Carteret,1949,281,2805,15
Caswell,893,395,3951,8
Catawba,7743,485,4853,102
Chatham,2475,332,3323,65
Cherokee,1006,352,3516,15
Chowan,682,489,4891,18
Clay,301,268,2680,5
Cleveland,4710,481,4809,113
Columbus,2891,521,5208,74
Craven,3509,344,3436,74
Cumberland,10285,307,3065,122
Currituck,412,148,1484,5
Dare,724,196,1956,4
Davidson,5990,357,3574,56
Davie,1421,332,3317,13
Duplin,3533,601,6015,63
Durham,11948,372,3716,125
Edgecombe,2717,528,5279,73
Forsyth,14919,390,3902,173
Franklin,2253,323,3233,33
Gaston,11286,503,5027,193
Gates,254,220,2197,7
Graham,285,338,3376,11
Granville,2722,450,4503,59
Greene,1276,606,6056,28
Guilford,18417,343,3428,259
Halifax,2152,430,4303,38
Harnett,4474,329,3290,79
Haywood,1400,225,2247,43
Henderson,3433,292,2924,73
Hertford,1063,449,4490,42
Hoke,2137,387,3869,33
Hyde,191,387,3869,5
Iredell,6380,351,3509,56
Jackson,1555,354,3539,10
Johnston,8425,402,4025,78
Jones,303,322,3217,15
Lee,2678,433,4335,32
Lenoir,2428,434,4340,55
Lincoln,3867,449,4491,20
Macon,988,276,2755,9
Madison,593,273,2726,17
Martin,928,414,4135,21
McDowell,2125,464,4644,35
Mecklenburg,47547,428,4282,470
Mitchell,599,400,4003,6
Montgomery,1501,552,5524,43
Moore,3392,336,3362,65
Nash,4743,503,5030,112
New Hanover,7589,324,3237,62
Northampton,884,454,4537,25
Onslow,6074,307,3069,45
Orange,4163,280,2804,62
Pamlico,435,342,3418,3
Pasquotank,1188,298,2983,35
Pender,2022,321,3206,17
Perquimans,375,279,2785,4
Person,1110,281,2811,13
Pitt,8741,484,4836,58
Polk,524,253,2528,13
Randolph,5931,413,4128,94
Richmond,2064,460,4604,40
Robeson,7824,599,5990,114
Rockingham,3387,372,3722,23
Rowan,6394,450,4500,137
Rutherford,2811,419,4194,80
Sampson,3936,620,6195,49
Scotland,2092,601,6008,43
Stanly,3241,516,5160,78
Stokes,1308,287,2869,20
Surry,3084,430,4296,49
Swain,432,303,3027,5
Transylvania,611,178,1777,9
Tyrrell,149,371,3710,3
Union,8749,365,3648,77
Vance,1985,446,4457,60
Wake,32111,289,2888,304
Warren,857,434,4343,8
Washington,342,295,2953,8
Watauga,2085,371,3711,8
Wayne,6172,501,5013,119
Wilkes,2967,434,4337,55
Wilson,4370,534,5342,85
Yadkin,1740,462,4619,18
Yancey,661,366,3658,2